dataset	x	y	n	x_mean	y_mean	pearson	spearman	group
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	3.391091747531768	0.003279999999999995	0.9999999744101186	0.9999999999999998	subckt_0116
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	108	-4.906867631138737	-0.019471759259259255	0.9999991228267147	0.9999999999999999	subckt_0117
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	-0.1926649570589088	-0.0003466666666666325	0.999999992465459	0.9999999999999998	subckt_0118
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-2.5435686329045724	-0.004445925925925908	0.9999996056590508	1.0	subckt_0120
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	-0.10250148529621406	-0.00029055555555554434	0.9999997904896981	1.0	subckt_0126
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	2.1990383768244346	0.005011111111111025	0.9999971543581301	1.0	subckt_0128
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.21884550139678746	0.0006238888888888083	0.9999972980201903	1.0	subckt_0133
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.8929902021730789	0.0034827777777777396	0.999998878025332	1.0	subckt_0136
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	0.04424372834749773	0.0001883333333333056	0.9999997172612736	1.0	subckt_0141
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	-0.022727877379007125	-5.8888888888802404e-05	0.9999999965426324	0.9999999999999998	subckt_0145
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	0.10211014153650291	0.0004272222222221333	0.999998418747267	1.0	subckt_0146
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	1.6646921244220239	0.0038799999999999607	0.9999997765060015	1.0	subckt_0155
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	0.2109527790870951	0.00039722222222212723	0.9999994028260007	0.9999999999999998	subckt_0165
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.6190164124126495	0.0031038888888888856	0.9999871427422394	1.0	subckt_0168
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	-0.08851307912212279	-0.0004116666666667318	0.9999882892431812	0.9999999999999998	subckt_0171
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-7.467034691028889	-0.009619444444444455	0.9999989245691087	0.9999999999999999	subckt_0172
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	7.6107250022878805	0.009389999999999944	0.9999989968337063	1.0	subckt_0173
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	-0.06422497695129742	-0.00017111111111116538	0.9999973765119409	0.9999999999999998	subckt_0184
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	1.7464911310877564	0.00484833333333329	0.999999924350779	1.0	subckt_0188
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	0.10149129240565537	0.0003157407407407941	0.9999991834875614	0.9999999999999999	subckt_0189
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	1.2125513062571227	0.0029672222222221446	0.9999995973856727	1.0	subckt_0192
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-0.48105013769537547	-0.0011683333333333055	0.9999999374183832	0.9999999999999999	subckt_0193
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.8970968586455075	0.004351944444444459	0.9999971287220655	1.0	subckt_0196
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	-0.24049626386606418	-0.00029555555555558247	0.9999999890105539	1.0	subckt_0197
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	1.094427972363273	0.002163148148148124	0.9999999830742056	0.9999999999999999	subckt_0203
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	72	0.02372719326407792	0.00011027777777768934	0.9999997478455093	0.9999999999999998	subckt_0204
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-17.924740806812807	-0.008559814814814914	0.999999994236797	0.9999999999999999	subckt_0230
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-2.9346008608982173	-0.007977222222222207	0.9999991795409525	1.0	subckt_0231
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-0.3382152434503866	-0.0007831481481482017	0.9999999877561971	1.0	subckt_0239
