dataset	group	x	y	n	x_mean	y_mean	pearson	spearman	x_min	x_max	y_min	y_max
oracle_balanced_train_wide	subckt_0373	oracle_hard_fault_count	oracle_fault_coverage	108	23.10185185185185	0.7500433333333332	-0.9997329870488254	-0.9869336811500448	0	29	0.6847799999999999	1.0
oracle_balanced_train_wide	subckt_0373	oracle_hard_fault_count	oracle_delta_tc	108	23.10185185185185	0.03893333333333333	-0.9997329870488265	-0.9869336811500448	0	29	-0.02633	0.28889
oracle_balanced_train_wide	subckt_0373	oracle_hard_fault_count	oracle_delta_fault_coverage	108	23.10185185185185	0.03893333333333333	-0.9997329870488265	-0.9869336811500448	0	29	-0.02633	0.28889
oracle_balanced_train_wide	subckt_0373	oracle_hard_fault_count	oracle_undetected_fault_count	108	23.10185185185185	23.10185185185185	1.0	1.0	0	29	0.0	29.0
oracle_balanced_train_wide	subckt_0375	oracle_hard_fault_count	oracle_test_coverage	108	17.88888888888889	0.9614906481481479	-0.9997085472941745	-0.7624725889853056	10	20	0.9569	0.97845
oracle_balanced_train_wide	subckt_0375	oracle_hard_fault_count	oracle_fault_coverage	108	17.88888888888889	0.9614906481481479	-0.9997085472941745	-0.7624725889853056	10	20	0.9569	0.97845
oracle_balanced_train_wide	subckt_0375	oracle_hard_fault_count	oracle_delta_tc	108	17.88888888888889	0.0004506481481480306	-0.9997085472941704	-0.7624725889853056	10	20	-0.00414	0.01741
oracle_balanced_train_wide	subckt_0375	oracle_hard_fault_count	oracle_delta_fault_coverage	108	17.88888888888889	0.0004506481481480306	-0.9997085472941704	-0.7624725889853056	10	20	-0.00414	0.01741
oracle_balanced_train_wide	subckt_0375	oracle_hard_fault_count	oracle_undetected_fault_count	108	17.88888888888889	17.88888888888889	1.0	1.0	10	20	10.0	20.0
oracle_balanced_train_wide	subckt_0384	oracle_hard_fault_count	oracle_test_coverage	54	21.444444444444443	0.8575920370370368	-0.999797724681229	-0.9961736545607488	0	29	0.80667	1.0
oracle_balanced_train_wide	subckt_0384	oracle_hard_fault_count	oracle_fault_coverage	54	21.444444444444443	0.8575920370370368	-0.999797724681229	-0.9961736545607488	0	29	0.80667	1.0
oracle_balanced_train_wide	subckt_0384	oracle_hard_fault_count	oracle_delta_tc	54	21.444444444444443	-0.007267962962963053	-0.9997977246812282	-0.9961736545607488	0	29	-0.05819	0.1351399999999999
oracle_balanced_train_wide	subckt_0384	oracle_hard_fault_count	oracle_delta_fault_coverage	54	21.444444444444443	-0.007267962962963053	-0.9997977246812282	-0.9961736545607488	0	29	-0.05819	0.1351399999999999
oracle_balanced_train_wide	subckt_0384	oracle_hard_fault_count	oracle_undetected_fault_count	54	21.444444444444443	21.444444444444443	1.0	0.9999999999999999	0	29	0.0	29.0
